Fon Kodu,Fon Adı,Şemsiye Fon Türü,Alt Kategori,Portföy Yönetim Şirketi,Döviz Cinsi
NKM,NEO PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,NEO,TL
NKP,NEO PORTFÖY KAR PAYI ÖDEYEN DEĞİŞKEN FON,Değişken Şemsiye Fonu,Kar Payı Ödeyen,NEO,TL
NKT,NUROL PORTFÖY BİRİNCİ KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,NUROL,TL
NLE,NUROL PORTFÖY EMLAK SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Tematik,NUROL,TL
NLK,NUROL PORTFÖY KISA VADELİ SERBEST FON,Serbest Şemsiye Fonu,Kısa Vade,NUROL,TL
NME,NUROL PORTFÖY MERCAN KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,NUROL,USD
NMU,NUROL PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,İstatiksel Arbitraj,NUROL,TL
NNF,HEDEF PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,HEDEF,TL
NOI,TACİRLER PORTFÖY NOVA İSTATİSTİKSEL ARBİTRAJ SERBEST FON,Serbest Şemsiye Fonu,İstatiksel Arbitraj,TACİRLER,TL
NPH,NUROL PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,NUROL,TL
NRC,NEO PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,NEO,TL
NRG,NEO PORTFÖY BİRİNCİ PARA PİYASASI FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,NEO,TL
NSA,NEO PORTFÖY PARA PİYASASI KATILIM SERBEST FON,Serbest Şemsiye Fonu,Para Piyasası,NEO,TL
NSD,NUROL PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Diğer Serbest,NUROL,USD
NSH,NUROL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,İstatiksel Arbitraj,NUROL,TL
NSK,NEO PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,NEO,TL
NSP,NUROL PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,Para Piyasası,NUROL,TL
NST,İŞ PORTFÖY EMLAK SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Tematik,İŞ,TL
NSY,NEO PORTFÖY YEDİNCİ SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,NEO,TL
NTI,NEO PORTFÖY TEKNOLOJİ VE İNOVASYON DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,NEO,TL
NUB,NUROL PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,NUROL,USD
NUH,NEO PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,NEO,TL
NVB,NEO PORTFÖY İKİNCİ PARA PİYASASI (TL) FON,Para Piyasası Şemsiye Fonu,Para Piyasası,NEO,TL
NVC,NEO PORTFÖY VENTO SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,NEO,TL
NVK,INVEO PORTFÖY KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,INVEO,USD
NVT,NEO PORTFÖY ÜÇÜNCÜ SERBEST (TL) FON,Serbest Şemsiye Fonu,Diğer Serbest,NEO,TL
NVZ,NEO PORTFÖY ORSA SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,NEO,USD
NZH,NEO PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,NEO,TL
NZT,NEO PORTFÖY PARA PİYASASI SERBEST FON,Serbest Şemsiye Fonu,Para Piyasası,NEO,TL
NZU,NUROL PORTFÖY ZÜMRÜT KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,NUROL,USD
OBI,OYAK PORTFÖY İKİNCİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,OYAK,TL
OBP,OYAK PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,OYAK,TL
ODD,OYAK PORTFÖY DÖRDÜNCÜ SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,OYAK,TL
ODG,ONE PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,ONE,TL
ODP,OSMANLI PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,OSMANLI,TL
ODS,OYAK PORTFÖY İKİNCİ SERBEST(DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,OYAK,USD
ODV,AK PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,AK,TL
OFI,OYAK PORTFÖY İKİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,OYAK,TL
OFS,OYAK PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,OYAK,TL
OGD,OYAK PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,Altın,OYAK,TL
OHB,OYAK PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,OYAK,TL
OHK,OYAK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,OYAK,TL
OIL,OSMANLI PORTFÖY ALTIN FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,OSMANLI,TL
OIR,OSMANLI PORTFÖY DENGELİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,OSMANLI,TL
OJB,QNB PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,QNB,USD
OJK,QNB PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,Altın,QNB,TL
OJT,QNB PORTFÖY TEKNOLOJİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Teknoloji Temalı,QNB,TL
OKD,OYAK PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,OYAK,TL
OKP,OYAK PORTFÖY BİRİNCİ KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,OYAK,TL
OKT,OYAK PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,OYAK,TL
OLA,OSMANLI PORTFÖY İKİNCİ SERBEST (DÖVİZ- AVRO) FON,Serbest Şemsiye Fonu,Döviz,OSMANLI,EUR
OLD,QNB PORTFÖY TEMİZ ENERJİ VE SU FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Tematik,QNB,TL
OLE,OSMANLI PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,OSMANLI,TL
OMG,AZİMUT PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,AZİMUT,TL
ONE,AKTİF PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,AKTİF,TL
ONK,AK PORTFÖY ONİKİNCİ SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,Döviz,AK,EUR
ONN,AKTİF PORTFÖY AKTİF ONİKS SERBEST (TL) FON,Serbest Şemsiye Fonu,Diğer Serbest,AKTİF,TL
ONS,İŞ PORTFÖY ONİKİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,İŞ,USD
OPB,OSMANLI PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,OSMANLI,TL
OPD,OSMANLI PORTFÖY ANKA SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,OSMANLI,TL
OPF,OSMANLI PORTFÖY AGRESİF DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,OSMANLI,TL
OPH,OSMANLI PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,OSMANLI,TL
