Fon Kodu,Fon Adı,Şemsiye Fon Türü,Alt Kategori,Portföy Yönetim Şirketi,Döviz Cinsi
DTH,EMAA BLUE PORTFÖY DÖNÜŞÜM TEKNOLOJİLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Teknoloji Temalı,EMAA BLUE,TL
DTL,DENİZ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,DENİZ,TL
DTM,DENİZ PORTFÖY TEMETTÜ ÖDEYEN ŞİRKETLER DEĞİŞKEN FON,Değişken Şemsiye Fonu,Tematik,DENİZ,TL
DTZ,AK PORTFÖY ROBOTİK TEKNOLOJİLER DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,AK,TL
DUD,DENİZ PORTFÖY UZUN VADELİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,DENİZ,USD
DUH,HEDEF PORTFÖY UFUK HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,HEDEF,TL
DUV,DENİZ PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,DENİZ,TL
DVS,DENİZ PORTFÖY KISA VADELİ SERBEST (TL) FON,Serbest Şemsiye Fonu,Kısa Vade,DENİZ,TL
DVT,DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,DENİZ,TL
DXP,DENİZ PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Tematik,DENİZ,TL
DYN,DENİZ PORTFÖY ELEKTRİKLİ VE OTONOM ARAÇ TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,DENİZ,TL
DZE,DENİZ PORTFÖY BIST 100 ENDEKSİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,DENİZ,TL
DZM,DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,DENİZ,USD
EBD,GLOBAL MD PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,GLOBAL MD,TL
EBI,EMAA BLUE PORTFÖY İKİNCİ SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,Döviz,EMAA BLUE,EUR
EBS,EMAA BLUE PORTFÖY BİRİNCİ SERBEST (DÖVİZ-ABD DOLARI) FON,Serbest Şemsiye Fonu,Döviz,EMAA BLUE,USD
EC2,GLOBAL MD PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,GLOBAL MD,TL
ECA,GLOBAL MD PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,GLOBAL MD,TL
EDN,EMAA BLUE PORTFÖY DENGELİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,EMAA BLUE,TL
EDP,NEO PORTFÖY KORUNCUK EĞİTİME DESTEK PARA PİYASASI SERBEST FON,Serbest Şemsiye Fonu,Para Piyasası,NEO,TL
EDT,DENİZ PORTFÖY TED EĞİTİME DESTEK SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,DENİZ,TL
EDU,İŞ PORTFÖY TEV EĞİTİME DESTEK DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,İŞ,TL
EGR,EMAA BLUE PORTFÖY AGRESİF DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,EMAA BLUE,TL
EIB,ASTRA PORTFÖY DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,QİNVEST,TL
EID,ASTRA PORTFÖY HİSSE SENEDİ FONU (HİSSE YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,QİNVEST,TL
EIL,ASTRA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,QİNVEST,TL
EKF,ASTRA PORTFÖY KİRA SERTİFİKASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,Kira Sertifikası,QİNVEST,TL
ELZ,ASTRA PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,QİNVEST,TL
EML,AK PORTFÖY EMLAK SEKTÖRÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Tematik,AK,TL
ENJ,AKTİF PORTFÖY ENERJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Tematik,AKTİF,TL
EP1,EMLAK KATILIM PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,Para Piyasası,EMLAK KATILIM,TL
EPA,EMAA BLUE PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,Para Piyasası,EMAA BLUE,TL
EPI,EMAA BLUE PORTFÖY İNŞAAT SEKTÖRÜ KATILIM FONU,Katılım Şemsiye Fonu,Tematik,EMAA BLUE,TL
EPK,EMAA BLUE PORTFÖY KIYMETLİ MADENLER KATILIM FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Kıymetli Madenler,EMAA BLUE,TL
EPP,EMAA BLUE PORTFÖY PARA PİYASASI SERBEST FON,Serbest Şemsiye Fonu,Para Piyasası,EMAA BLUE,TL
EPT,EMAA BLUE PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,EMAA BLUE,TL
ESG,AKTİF PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK SERBEST FON,Serbest Şemsiye Fonu,Tematik,AKTİF,TL
ESP,AURA PORTFÖY EMTİA SERBEST FON,Serbest Şemsiye Fonu,Emtia,AURA,TL
EUN,GARANTİ PORTFÖY İKİNCİ SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,Döviz,GARANTİ,EUR
EUZ,GARANTİ PORTFÖY SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,Döviz,GARANTİ,EUR
EVM,DENİZ PORTFÖY ENERJİ VE MADENCİLİK SEKTÖRÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Tematik,DENİZ,TL
EYT,AKTİF PORTFÖY İKİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,AKTİF,TL
FAK,FONMAP PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,Altın,FONMAP,TL
FAL,ONE PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,Altın,ONE,TL
FBC,ONE PORTFÖY KAR PAYI ÖDEYEN KATILIM FONU,Katılım Şemsiye Fonu,Kar Payı Ödeyen,ONE,TL
FBI,FİBA PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,FİBA,USD
FBV,İŞ PORTFÖY MODEL SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,İŞ,TL
FBZ,FİBA PORTFÖY TEKNOLOJİ SERBEST FON,Serbest Şemsiye Fonu,Kar Payı Ödeyen,FİBA,TL
FCK,ONE PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,Çoklu Varlık,ONE,TL
FD1,ONE PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,ONE,TL
FDG,FONMAP PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,FONMAP,TL
FDV,AZİMUT PORTFÖY DMR SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,AZİMUT,TL
FFH,QNB PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,Çoklu Varlık,QNB,TL
FFP,QNB PORTFÖY FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,QNB,TL
FI3,QNB PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,QNB,TL
FIB,FİBA PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,Altın,FİBA,TL
FID,FİBA PORTFÖY ÇOKLU VARLIK İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Çoklu Varlık,FİBA,TL
FIL,FİBA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,FİBA,TL
FIT,FİBA PORTFÖY BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,FİBA,TL
FJB,FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON,Serbest Şemsiye Fonu,Teknoloji Temalı,FİBA,TL
FJZ,FİBA PORTFÖY FIRTINA SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,FİBA,USD
FKE,QNB PORTFÖY KRİSTAL SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,Döviz,QNB,EUR
FLS,YAPI KREDİ PORTFÖY FLORYA SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,Döviz,YAPI KREDİ,EUR
FLY,AKTİF PORTFÖY HAVACILIK VE SAVUNMA TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,AKTİF,TL
FMG,QNB PORTFÖY GÜMÜŞ SERBEST FON,Serbest Şemsiye Fonu,Gümüş,QNB,TL
FMV,DENİZ PORTFÖY FMV IŞIK ÜNİVERSİTESİ EĞİTİME DESTEK SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,DENİZ,TL
FNO,QNB PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,QNB,TL
FNT,HEDEF PORTFÖY MODEL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Tematik,HEDEF,TL
FP4,ONE PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,ONE,TL
FPE,FİBA PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU,Borçlanma Araçları Şemsiye Fonu,Eurobond,FİBA,TL
FPG,FİBA PORTFÖY GÜMÜŞ SERBEST FON,Serbest Şemsiye Fonu,Gümüş,FİBA,TL
FPH,FİBA PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,FİBA,TL
FPI,FONMAP PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,FONMAP,TL
FPK,FİBA PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,FİBA,TL
FPZ,QNB PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,QNB,USD
FRC,FONMAP PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,FONMAP,TL
FS5,ONE PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,İstatiksel Arbitraj,ONE,TL
FS6,ONE PORTFÖY İKİNCİ İSTATİSTİKSEL ARBİTRAJ SERBEST FON,Serbest Şemsiye Fonu,İstatiksel Arbitraj,ONE,TL
FSF,FİBA PORTFÖY PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,Para Piyasası,FİBA,TL
FSG,FİBA PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,FİBA,TL
FSH,FİBA PORTFÖY FON SEPETİ SERBEST FON,Serbest Şemsiye Fonu,Fon Sepeti,FİBA,TL
FSK,QNB PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,QNB,TL
FSP,FONMAP PORTFÖY SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,FONMAP,USD
FSR,FİBA PORTFÖY İKİNCİ SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,Döviz,FİBA,EUR
FSU,TERA PORTFÖY FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,TERA,TL
FTL,ONE PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,Para Piyasası,ONE,TL
FUA,AK PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Tematik,AK,TL
FUB,QNB PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Eurobond,QNB,TL
FYD,QNB PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,QNB,TL
FYI,AZİMUT PORTFÖY 4.0 SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,AZİMUT,TL
FYO,QNB PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Özel Sektör Borçlanma Araçları,QNB,TL
FZJ,FİBA PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,FİBA,TL
FZP,FİBA PORTFÖY SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,FİBA,TL
GA1,GARANTİ PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,GARANTİ,TL
GAE,GARANTİ PORTFÖY BİST30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,GARANTİ,TL
GAF,INVEO PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,INVEO,TL
GAG,INVEO PORTFÖY BİRİNCİ SERBEST (DÖVIZ)  FON,Serbest Şemsiye Fonu,Döviz,INVEO,USD
GAH,GARANTİ PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,İstatiksel Arbitraj,GARANTİ,TL
GAS,GARANTİ PORTFÖY ÜÇÜNCÜ SERBEST(DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,GARANTİ,USD
GBC,AZİMUT PORTFÖY YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,Yabancı Hisse Ağırlıklı,AZİMUT,TL
GBG,INVEO PORTFÖY G-20 ÜLKELERİ YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,Yabancı Hisse Ağırlıklı,INVEO,TL
GBH,GARANTİ PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,GARANTİ,TL
GBJ,GARANTİ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,BIST Endeks,GARANTİ,TL
GBL,AZİMUT PYŞ KISA VADELİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,AZİMUT,TL
GBN,GARANTİ PORTFÖY BEŞİNCİ (TL) SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,GARANTİ,TL
GBV,GARANTİ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,GARANTİ,TL
GBZ,AZİMUT PORTFÖY EMTİA FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Emtia,AZİMUT,TL
GGK,INVEO PORTFÖY ALTIN FON,Kıymetli Madenler Şemsiye Fonu,Altın,INVEO,TL
GHS,GARANTİ PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,GARANTİ,TL
GID,GARANTİ PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Tematik,GARANTİ,TL
GIE,GARANTİ PORTFÖY GARANTİ BBVA İKLİM ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,GARANTİ,TL
GIH,ALLBATROSS PORTFÖY GIDA VE İÇECEK SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Tematik,ALLBATROSS,TL
GJB,INVEO PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,INVEO,TL
GKF,GLOBAL MD PORTFÖY KATILIM FONU,Katılım Şemsiye Fonu,Diğer Katılım,GLOBAL MD,TL
GKG,GARANTİ PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Kar Payı Ödeyen,GARANTİ,TL
GKH,GARANTİ PORTFÖY PARA PİYASASI KATILIM SERBEST (TL) FON,Serbest Şemsiye Fonu,Diğer Serbest,GARANTİ,TL
GKV,GARANTİ PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,GARANTİ,TL
GL1,AZİMUT PYŞ BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,AZİMUT,TL
GLC,AKTİF PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,AKTİF,TL
GLG,AKTİF PORTFÖY CAPİTAL HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,AKTİF,TL
GLS,AZİMUT PORTFÖY  KİRA SERTİFİKALARI (SUKUK) KATILIM FONU,Katılım Şemsiye Fonu,Kira Sertifikası,AZİMUT,TL
GMA,AZİMUT PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Çoklu Varlık,AZİMUT,TL
GMC,TEB PORTFÖY GÜMÜŞ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Gümüş,TEB,TL
GMD,GLOBAL MD PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,GLOBAL MD,TL
GMI,AK PORTFÖY GÜMÜŞ SERBEST FON,Serbest Şemsiye Fonu,Gümüş,AK,TL
GMN,GLOBAL MD PORTFÖY BİRİNCİ PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,Para Piyasası,GLOBAL,TL
GMR,INVEO PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,INVEO,TL
GNH,GLOBAL MD PORTFÖY ALGORİTMİK MODEL HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Tematik,GLOBAL MD,TL
GNS,GARANTİ PORTFÖY ENERJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Tematik,GARANTİ,TL
GO1,ONE PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,ONE,TL
GO2,ONE PORTFÖY KATILIM FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,ONE,TL
GO3,ONE PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,ONE,TL
GO4,ONE PORTFÖY DÖRDÜNCÜ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,ONE,TL
GO6,ONE PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,ONE,TL
GO9,ONE PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,ONE,TL
GOH,GARANTİ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,GARANTİ,TL
GOL,GARANTİ PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,Altın,GARANTİ,TL
GOP,GOLDEN GLOBAL PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,Para Piyasası,GOLDEN,TL
GPA,GARANTİ PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU,Borçlanma Araçları Şemsiye Fonu,Eurobond,GARANTİ,TL
GPB,GARANTİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,GARANTİ,TL
GPC,GARANTİ PORTFÖY İKİNCİ SERBEST ( DÖVİZ ) FON,Serbest Şemsiye Fonu,Döviz,GARANTİ,USD
GPF,GARANTİ PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,Diğer Katılım,GARANTİ,TL
GPG,INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,INVEO,TL
GPI,GARANTİ PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,GARANTİ,TL
GPL,GARANTİ PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,GARANTİ,USD
GPN,GARANTİ PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,Para Piyasası,GARANTİ,TL
GPT,AKTİF PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,AKTİF,TL
GPU,GARANTİ PORTFÖY ÜÇÜNCÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,GARANTİ,TL
GPZ,GARANTİ PORTFÖY ÜÇÜNCÜ PARA PİYASASI FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,GARANTİ,TL
GRL,QNB PORTFÖY AGRESİF SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,QNB,TL
GRO,GARANTİ PORTFÖY OTUZUNCU SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,GARANTİ,USD
GRT,GARANTİ PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Teknoloji Temalı,GARANTİ,TL
GSP,AZİMUT PYŞ KAR PAYI ÖDEYEN HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Kar Payı Ödeyen,AZİMUT,TL
GTA,GARANTİ PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,Altın,GARANTİ,TL
GTF,AZİMUT PYŞ BİRİNCİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,AZİMUT,TL
GTH,GARANTİ PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Tematik,GARANTİ,TL
GTM,GARANTİ PORTFÖY TEMETTÜ ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Tematik,GARANTİ,TL
GTY,GARANTİ PORTFÖY TREND SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,GARANTİ,TL
GTZ,GARANTİ PORTFÖY GÜMÜŞ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Gümüş,GARANTİ,TL
GUB,GARANTİ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Özel Sektör Borçlanma Araçları,GARANTİ,TL
GUF,İŞ PORTFÖY GÜMÜŞ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Gümüş,İŞ,TL
GUH,GARANTİ PORTFÖY YABANCI TEKNOLOJİ HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,Teknoloji Temalı,GARANTİ,TL
GUK,GARANTİ PORTFÖY GÜMÜŞ KATILIM SERBEST FON,Serbest Şemsiye Fonu,Gümüş,GARANTİ,TL
GUM,AK PORTFÖY GÜMÜŞ FON SEPETI FONU,Fon Sepeti Şemsiye Fonu,Gümüş,AK,TL
GUV,GARANTİ PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,GARANTİ,TL
GVA,GARANTİ PORTFÖY ELEKTRİKLİ VE OTONOM ARAÇLAR DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,GARANTİ,TL
GVI,GARANTİ PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,GARANTİ,TL
GYK,INVEO PORTFÖY BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,INVEO,TL
GZE,GARANTİ PORTFÖY EMTİA SERBEST FON,Serbest Şemsiye Fonu,Emtia,GARANTİ,TL
GZG,GARANTİ PORTFÖY SAĞLIK VE GENETİK TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Tematik,GARANTİ,TL
GZH,GARANTİ PORTFÖY TEMİZ ENERJİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Tematik,GARANTİ,TL
GZJ,GARANTİ PORTFÖY İKİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,GARANTİ,TL
GZL,GARANTİ PORTFÖY TARIM VE GIDA SEKTÖRÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Tematik,GARANTİ,TL
GZM,GLOBAL MD PORTFÖY DURU SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,GLOBAL MD,TL
GZN,GLOBAL MD PORTFÖY BOĞAZİÇİ SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,GLOBAL MD,TL
